Lipid_name,full_smiles,Amine,Tail,amine_filled,tail_filled,amine_corrected,fill_confidence,fill_tanimoto,fill_note
A2_B6_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B7_C1,C#CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B8_C1,C=CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B9_C1,CCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B10_C1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B11_C1,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B12_C1,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B1_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B2_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A2_B3_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B4_C2,CCCCCCC/C=C/C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B5_C2,CCCCCCC/C=C\C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B6_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B7_C2,C#CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B8_C2,C=CCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B9_C2,CCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B10_C2,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B11_C2,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B12_C2,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B1_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B2_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A2_B3_C3,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B4_C3,CCCCCCC/C=C/C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
