,Mean,Std,Max,Min,ExtremeVariance
GM_265,0.0010642817,0.004103331,0.037697457,-0.031722303,0.06941976
GM_266,0.0022100743,0.008172664,0.0821892,-0.045089986,0.12727919
GM_267,0.0012372148,0.006841602,0.06368784,-0.04173899,0.10542683
GM_268,-0.0015405074,0.004656245,0.023748841,-0.03080867,0.05455751
GM_269,-0.0011005618,0.0065463358,0.04510406,-0.05325924,0.098363295
GM_270,-0.0047476212,0.009670468,0.06490378,-0.098975934,0.16387972
GM_271,0.0005474095,0.0016961957,0.0139992535,-0.009146078,0.023145331
GM_272,0.0005091421,0.0061803143,0.05422411,-0.03799938,0.092223495
GM_273,-0.0014112788,0.0029783514,0.011553096,-0.03297182,0.044524916
GM_274,-0.00032495393,0.008350498,0.055936553,-0.07546843,0.13140498
GM_275,-0.0017273019,0.00500799,0.036744334,-0.038471498,0.07521583
GM_276,-0.0030943244,0.005994672,0.027454492,-0.04333858,0.07079307
GM_277,0.0015666753,0.0048761624,0.029978497,-0.024127865,0.054106362
GM_278,-0.00014961109,0.0043565216,0.03558733,-0.029362015,0.06494935
GM_279,-0.0019420098,0.003926062,0.026232924,-0.030203639,0.05643656
GM_280,-0.00500674,0.009215227,0.034796037,-0.108733565,0.1435296
GM_281,0.0001994449,0.007203644,0.04746317,-0.047362335,0.094825506
GM_282,0.0012303268,0.0046253954,0.031340387,-0.036914665,0.06825505
GM_283,-0.002711908,0.0036770017,0.02505015,-0.03624979,0.061299942
GM_284,-3.6706172e-06,0.0037969924,0.0217145,-0.039543808,0.06125831
GM_285,-0.0008810306,0.0067728832,0.075644486,-0.037838303,0.11348279
GM_286,0.0010920224,0.0072920094,0.045703374,-0.049669154,0.09537253
GM_287,0.003211837,0.0041446346,0.0364472,-0.02760885,0.064056054
GM_288,2.2750608e-05,0.0046860417,0.036345117,-0.035782613,0.07212773
GM_289,-0.0031483753,0.0077683306,0.029185237,-0.07573977,0.10492501
GM_290,-0.0019861818,0.005210547,0.02745891,-0.04662731,0.07408622
GM_291,-0.047063198,0.017132245,0.008241899,-0.26263848,0.27088037
GM_292,0.002187138,0.005366815,0.0674227,-0.021641592,0.08906429
GM_293,-0.001289494,0.0033649579,0.016576156,-0.03299751,0.049573667
GM_294,-0.0034126951,0.006903713,0.03381484,-0.06738005,0.10119489
GM_295,-0.0005039583,0.0048007374,0.036840003,-0.03613971,0.07297972
GM_296,-0.0012216642,0.0048141405,0.023778982,-0.032318406,0.05609739
GM_297,0.00055145187,0.0031404449,0.03492943,-0.013899566,0.048828993
GM_298,0.0010012252,0.0036819158,0.02142426,-0.048227493,0.06965175
GM_299,-0.00012459703,0.008776058,0.046723664,-0.05480592,0.10152958
GM_300,-0.0069100736,0.011522358,0.039398562,-0.09296137,0.13235994
GM_301,0.001657454,0.005373338,0.042155527,-0.029634371,0.0717899
GM_302,0.00015189426,0.004062757,0.03431012,-0.068521015,0.10283114
GM_303,-0.0022988252,0.0051313546,0.020858431,-0.042635955,0.063494384
GM_304,-0.00066148734,0.00871399,0.06454863,-0.07895425,0.14350288
GM_305,0.0013072261,0.002392542,0.025419852,-0.018287718,0.043707572
GM_306,0.0016209998,0.005290449,0.04120581,-0.047302153,0.088507965
GM_307,0.004947607,0.0076153288,0.07340932,-0.03252824,0.105937555
GM_308,-0.00068250834,0.0079903975,0.0669583,-0.043458227,0.11041653
GM_309,0.0018563869,0.0076527977,0.057575095,-0.055193566,0.112768665
GM_310,0.00019738526,0.0077664144,0.088608325,-0.036492825,0.12510115
GM_311,-0.0041287616,0.0063590393,0.021739297,-0.074512176,0.09625147
GM_312,-0.00046512837,0.0071938317,0.08513363,-0.069129325,0.15426296
GM_313,0.021010146,0.009395614,0.0811194,-0.00955743,0.09067683
GM_314,-0.006569443,0.009901455,0.035157245,-0.08384447,0.11900172
GM_315,0.0014136749,0.0061809323,0.051795542,-0.04312744,0.09492298
GM_316,0.0022955607,0.008261625,0.061804365,-0.048941817,0.11074618
GM_317,0.0013254243,0.008354561,0.070272855,-0.05576968,0.12604253
GM_318,-0.001971227,0.005961651,0.037395567,-0.061026584,0.098422155
